DATE;OPEN;HIGH;LOW;CLOSE
13.12.2018;154.9500000;156.4900000;153.2500000;156.4900000
14.12.2018;155.9600000;155.9800000;153.5100000;155.4000000
17.12.2018;155.1600000;156.4100000;152.9300000;153.5300000
18.12.2018;152.4000000;152.4200000;150.0500000;151.8900000
19.12.2018;151.1000000;153.7900000;150.7100000;152.9800000
20.12.2018;150.2300000;152.3800000;149.7000000;152.2700000
21.12.2018;151.4100000;152.2700000;150.3200000;151.1200000
24.12.2018;150.6600000;151.1500000;148.9300000;149.7300000
25.12.2018;148.3600000;148.4900000;145.0200000;147.0100000
26.12.2018;147.4700000;149.6600000;147.3600000;148.4100000
27.12.2018;151.0000000;152.4000000;150.0600000;150.6800000
28.12.2018;151.6800000;153.8000000;151.1600000;153.0000000
29.12.2018;153.6900000;153.7300000;152.8200000;153.5000000
03.01.2019;154.1300000;157.3000000;154.1100000;156.2800000
04.01.2019;156.7400000;159.1500000;156.7100000;159.1500000
08.01.2019;158.6500000;158.9400000;156.5500000;158.2600000
09.01.2019;158.8800000;160.4000000;158.4000000;160.2400000
10.01.2019;159.7400000;160.2000000;157.5600000;160.2000000
11.01.2019;160.2100000;161.1300000;159.8000000;161.0000000
14.01.2019;159.8400000;160.7500000;159.2000000;160.4800000
15.01.2019;160.9700000;161.5000000;157.3500000;158.1500000
16.01.2019;158.3500000;158.7500000;155.8000000;156.9000000
17.01.2019;157.2100000;157.2900000;155.6000000;157.1000000
18.01.2019;158.1700000;159.2000000;157.4300000;159.2000000
21.01.2019;159.0200000;160.0700000;158.0100000;158.3000000
22.01.2019;157.8600000;158.5000000;156.5700000;158.5000000
23.01.2019;158.2200000;159.9000000;158.0200000;159.9000000
24.01.2019;159.7100000;162.7800000;158.8600000;160.9000000
25.01.2019;161.6100000;162.8200000;160.1800000;162.8200000
28.01.2019;162.4000000;163.5800000;159.8200000;160.5600000
29.01.2019;160.1400000;162.9800000;159.0000000;162.9500000
30.01.2019;162.5100000;165.8400000;162.2600000;165.4000000
31.01.2019;166.0000000;166.4900000;162.5500000;162.8200000
01.02.2019;162.4700000;164.3700000;161.7500000;163.3300000
04.02.2019;163.3700000;165.0000000;162.8100000;163.2000000
05.02.2019;163.4500000;165.4300000;162.5400000;164.2500000
06.02.2019;164.4400000;164.6700000;163.0700000;163.2100000
07.02.2019;162.8800000;163.4400000;159.1000000;160.3900000
08.02.2019;159.1700000;161.3600000;158.1100000;159.8000000
11.02.2019;160.4300000;162.3000000;160.1800000;161.2900000
12.02.2019;161.5000000;163.6800000;160.7500000;163.6800000
13.02.2019;163.9400000;164.2800000;159.2700000;159.2700000
14.02.2019;157.3500000;158.7400000;155.1500000;155.1500000
15.02.2019;155.9900000;159.0400000;155.8900000;159.0400000
